Bio,Label,Year,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Professor David Abramson has been involved in computer architecture and high performance computing research since 1979. He has held appointments at Griffith University, CSIRO, RMIT and Monash University. At CSIRO he was the program leader of the Division of Information Technology High Performance Computing Program, and was also an adjunct Associate Professor at RMIT in Melbourne. He served as a program manager and chief investigator in the Co-operative Research Centre for Intelligent Decisions Systems and the Co-operative Research Centre for Enterprise Distributed Systems. He was the Director of the Monash e-Education Centre and a Professor of Computer Science in the Faculty of Information Technology at Monash University.",M,2015,David Abramson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abramson is currently the Director of the Research Computing Centre at the University of Queensland. He is a fellow of the Association for Computing Machinery (ACM) and the Academy of Science and Technological Engineering (ATSE), and a Senior Member of the IEEE.",M,2017,Efthimios Kaxiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anastasia Ailamaki is a Professor of Computer and Communication Sciences at the Ecole Polytechnique Federale de Lausanne (EPFL) in Switzerland. Her research interests are in data-intensive systems and applications, and in particular (a) in strengthening the interaction between the database software and emerging hardware and I/O devices, and (b) in automating data management to support computationally- demanding, data-intensive scientific applications. She has received an ERC Consolidator Award (2013), a Finmeccanica endowed chair from the Computer Science Department at Carnegie Mellon (2007), a European Young Investigator Award from the European Science Foundation (2007), an Alfred P. Sloan Research Fellowship (2005), eight best-paper awards in database, storage, and computer architecture conferences, and an NSF CAREER award (2002). She holds a Ph.D. in Computer Science from the University of Wisconsin-Madison in 2000. She is an ACM fellow and the vice chair of the ACM SIGMOD community, a senior member of the IEEE, and an elected member of the Swiss National Research Council. She has served as a CRA-W mentor, is a member of the Expert Network of the World Economic Forum",F,2017,Anastasia Ailamaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tim Cornwell has worked at the forefront of radio astronomical technical development for over 35 years. He has a PhD (1980) from the University of Manchester in England where he worked on image processing algorithms for radio synthesis telescopes. His first significant contribution was the development of the self-calibration algorithm widely used in radio astronomy. In 1980, he moved to Socorro, New Mexico to work on the newly completed Very Large Array telescope run by the National Radio Astronomy Observatory. Over the 25 years at the NRAO, he made many contributions to radio astronomical techniques, including the key algorithms needed for wide fields of view: mosaicing wide fields, and w projection for correcting Fresnel diffraction for wide fields. In 1986, he used the CRAY-YMP at Digital Productions to produce the first 16 MPixel radio interferometric image. He also contributed in the areas of telescope design (for the Atacama Large Millimeter Array), telescope commissioning (the Very Long Baseline Array), observatory management, and software development. He has also consulted widely: NASA on the HST Aberration, the US Intelligence Community on approaches to combat terrorism, the Naval Research Laboratory on design of a space borne interferometric array, ESO on the configuration of the VLTI, NASA on the Spaceborne Interferometric Mission, and others. In 2004, he joined the Square Kilometre Array International Engineering Working Group, primarily to contribute towards computing and algorithms. In this role, together with colleagues from around the world, he conducted systematic investigations of SKA processing costs, SKA software development costs, and SKA software development methodology. In 2005, he moved from NRAO to the CSIRO Australia Telescope National Facility to take the lead role in computing for the Australia SKA Pathfinder (ASKAP). He was heavily involved in all aspects of the development of ASKAP computing, and most particularly in the provision of high performance computing for the telescope. Within Australia, he served on a number of national committees concerned with the growth of eResearch in Australia. In 2012, he joined the SKA Organization Office at Jodrell Bank as Head of Computing, responsible for overseeing the architecture of the computing aspects of SKA. In January 2013, he took on the role of SKA Architect with responsibility for the entire technical architecture of SKA. Throughout his career, Dr. Cornwell has published extensively on multiple research topics. He has also served on numerous Scientific Organizing Committees for international conferences.",M,2015,Tim Cornwell,,,,,,,,,,,,,,at,the,"NRAO,",he,made,many,contributions,to,radio,astronomical,"techniques,",including,the,key,algorithms,needed,for,wide,fields,of,view:,mosaicing,wide,"fields,",and,w,projection,for,correcting,Fresnel,diffraction,for,wide,fields.,In,"1986,",he,used,the,CRAY-YMP,at,Digital,Productions,to,produce,the,first,16,MPixel,radio,interferometric,image.,He,also,contributed,in,the,areas,of,telescope,design,(for,the,Atacama,Large,Millimeter,"Array),",telescope,commissioning,(the,Very,Long,Baseline,"Array),",observatory,"management,",and,software,development.,He,has,also,consulted,widely:,NASA,on,the,HST,"Aberration,",the,US,Intelligence,Community,on,approaches,to,combat,"terrorism,",the,Naval,Research,Laboratory,on,design,of,a,space,borne,interferometric,"array,",ESO,on,the,configuration,of,the,"VLTI,",NASA,on,the,Spaceborne,Interferometric,"Mission,",and,others.
"Petros Koumoutsakos is Full Professor of Computational Science at ETH Zurich since 2000. He received his Diploma (1986) in Naval Architecture at the National Technical University of Athens and a Master’s (1987) at the University of Michigan, Ann Arbor. He received his Master’s (1988) in Aeronautics and his PhD (1992) in Aeronautics and Applied Mathematics from the California Institute of Technology. He is Fellow of the American Society of Mechanical Engineers and the American Physical Society as well as recipient (2013) of the ACM Gordon Bell prize in Supercomputing and the Advanced Investigator Award by the European Research Council.",M,2015,Petros Koumoutsakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charlie Catlett is a Senior Computer Scientist at Argonne National Laboratory, a U.S. Department of Energy scientific research laboratory. Catlett is also a Senior Fellow at the Computation Institute of the University of Chicago and Argonne National Laboratory, and a Visiting Artist at the School of the Art Institute of Chicago. His current research focus areas include urban data science, cyber security and privacy, mobile devices and social networks, and the use of mobile and embedded computing to create intelligent infrastructure. He served as Argonne’s Chief Information Officer from 2007-2011.From 2004 through 2007 he was director of the TeraGrid Initiative, a national-scale facility supported by the National Science Foundation.In 1999 Charlie co-founded the Global Grid Forum, (now Open Grid Forum) serving as its founding chair from October 1999 through September 2004. Concurrently, he directed the State of Illinois funded I-WIRE optical network project, deploying dark fiber and transport infrastructure to ten institutions in Illinois. I-WIRE today provides over 200 Gb/s of lambda and dark fiber resources to major projects including TeraGrid, the Starlight international optical network hub, Optiputer, and ESnet.Prior to joining Argonne in 2000, Charlie was Chief Technology Officer at the National Center for Supercomputing Applications (NCSA). As part of the original team that established NCSA in 1985, Charlie participated in design, deployment, and evolution of NSFNET, which was one of several early national networks that collectively evolved into today’s Internet. Beginning in 1992 his team designed and operated NCSAs web infrastructure during the exponential growth of the web following NCSA’s release of the Mosaic web browser.",M,2018,Charlie Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liesbet Geris is Francqui Research Professor in Biomechanics and Computational Tissue Engineering at the universities of Liège and Leuven in Belgium. Her research focusses on the multi-scale and multi-physics modeling of biological processes. Together with her team and their clinical and industrial collaborators, she uses these models to investigate the etiology of non-healing fractures, to design in silico potential cell-based treatment strategies and to optimize manufacturing processes of these tissue engineering constructs. Liesbet is scientific coordinator of the Prometheus platform for Skeletal Tissue Engineering (50+ researchers). She has edited several books on computational modeling and tissue engineering. She has received 2 prestigious ERC grants (starting in 2011 and consolidator in 2017) to finance her research and has received a number of young investigator and research awards. She is member and former chair of the Young Academy of Belgium (Flanders) and member of the strategic alliance committee of the Tissue Engineering and Regenerative Medicine Society. She is the current executive director of the Virtual Physiological Human Institute and in that capacity she advocates the use of in silico modeling in healthcare through liaising with the clinical community, the European Commission and Parliament, regulatory agencies (EMA, FDA) and various other stakeholders. Besides her research work, she is often invited to give public lectures on the challenges of interdisciplinary in research, women in academia and digital healthcare.",F,2018,Liesbet Geris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHEN Xiaofei, Professor of Geophysics at School of Earth and Space Sciences, USTC; Dinstuished Professor of Changjiang Scholar Program of the Ministry of Education; elected Fellow of IUGG(2015); elected Member of Chinese Academy of Sicence (2015). BS.(1982),University of Science and Technology of China; MS.(1985),Institute of Geophysics of China Earthquake Administration,China; PhD.(1991),University of Southern California,USA. He was with Peking University as a Professor in the Department of Geophysics during 1996-2008. He had been Director of Division Solid Geophysics, Chair of Department of Geophysics, deputy dean of the School of Earth and Space Sciences during 1996-2008 in Peking University. He was awarded by the National Natural Science Fundation for Distinguished Young Scientists in 1996,and the Earth Science Award by Ho Leung Ho Lee Fundation in 2009. He was elected as Vice President of the China Seismological Society in 2011, and Vice President of the Chinese Geophysical Society in 2012. Currently, he is an Editor of Geophysical Journal International, Assocaite Editor in-Chief of Earthquake Science. His main research interests are computational seismology and applications in Earth Structure Imaging and Seismic Hazard Mitigation. He had published more than 120 scientific research papers.",M,2018,Xiaofei Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sarika Jalan is a Professor of Physics and adjunct faculty in the Discipline for Biosciences and Biomedical Engineering at Indian Institute of Technology (IIT) Indore, India. The Complex Systems Lab at IIT Indore lead by Sarika Jalan focuses on inter-disciplinary research. Using network theory, nonlinear dynamics and computational techniques, the lab, on one hand, works on fundamental aspects of complex systems and network science research and on other hand applies techniques developed in the lab to real-world systems coming from Biology and Social science. Her recent interests are multilayer networks, synchronization, optimization and graph spectra.",F,2018,Sarika Jalan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Petros Koumoutsakos has received an education in Naval Architecture (NTUA Athens, U.of Michigan), Aeronautics and Applied Mathematics (Caltech). He has conducted post-doctoral studies at the Center for Parallel Computing at Caltech and at the Center for Turbulent Research at Stanford University and NASA Ames. He was appointed as Chair for Computational Science at ETH Zurich in 2000 and is currently a fellow of the Collegium Helveticum. Petros is elected Fellow of the American Society of Mechanical Engineers (ASME), the American Physical Society (APS) and the Society of Industrial and Applied Mathematics (SIAM). He has held visiting fellow positions at Caltech, the University of Tokyo, MIT and at the Radcliffe Institute of Advanced Study at Harvard University. He is recipient of the Advanced Investigator Award by the European Research Council and led the team that won the ACM Gordon Bell prize in Supercomputing (2013). His team researches the how and what of computing as applied to problems ranging from fish swimming to nanotechnology and medicine. In 2018 Professor Koumoutsakos was elected as foreign member of the US National Academy of Engineering.",M,2018,Petros Koumoutsakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Born in April, 1963, Prof. Xuejun Yang is a distinguished expert in computer science and technology. He is the president of the Academy of Military Sciences, academician of the Chinese Academy of Sciences and professor in National University of Defense Technology. He works on researching and developing high-performance computer architecture and system software, as well as intelligent computing. He was the chief designer of a series of supercomputers including Tianhe-1A which ranked No. 1 on the TOP500 list in 2010. He proposed the heterogeneous parallel computer architecture integrating CPUs and stream processors, and made world-leading achievements in the fields of scalable shared-memory parallel computer architecture and beyond 64-bit floating-pointing computing. He also achieved breakthroughs in the fields of the rapid deployment and the reliability technologies of supercomputers for battlefield requirements. Prof. Yang has won the First National Science and Technology Progress Award, Team Innovation Prize, the first-class State Scientific and Technological Progress Award of China, the second-class State Technological Invention Award of China, Ho Leung Ho Lee Science and Technology Achievement Award, Tan Kah Kee Science Award.",M,2018,Xuejun Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas Colcombet is currently a full time senior researcher at the CNRS, working in the Institut de Recherche en Informatique Fondamentale, Paris. After studying at the Ecole Normale Supérieure de Lyon, he received a PhD degree from the university of Rennes. His research is in automata theory in a broad sense, and in particular its connections to algebra, category theory, topology, model theory and algorithmic logic as well as game theory. ",M,2017,Thomas Colcombet ,FCT – International Symposium on Fundamentals of Computation Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin Dietzfelbinger is a full professor of Computer Science (for complexity theory and efficient algorithms) at Technische Universität Ilmenau. He received a Diplom (Master’s degree) Mathematics from the Ludwig Maximilians Universität Munich in 1983, was awarded a PhD degree in Computer Science from the University of Illinois at Chicago in 1987, and completed his hablitation at the University of Paderborn in 1992. Before moving to Ilmenau in 1998, he was a professor in the Computer Science Department of the University of Dortmund for several years. Nowadays, his main research interests lie in understanding the power of randomization in data structures and algorithms. A substantial part of his work deals with different aspects of foundations and applications of hashing in data structures and algorithmics.",M,2017,Martin Dietzfelbinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Juraj Hromkovič is professor of Information Technology and Education at the Department of Computer Science at ETH Zurich since January 2004. Born in Bratislava in 1958, he studied computer science at the Comenius University, where he received his PhD in 1986 and his habilitation in 1989. From 1990 to 1994, he was visiting professor at the University of Paderborn, from 1994 to 1997 professor for parallel computing at Christian Albrechts University Kiel, from 1997 to 2003 professor for algorithmics and complexity at RWTH Aachen. In 2001, he was elected member of the Slovak Academic Society. Since 2010, he is member of Academia Europaea. In 2015, he was honored by the Slovak state award Goodwill Envoy. In 2017, he got the Pribina Cross of the first order from the President of the Slovak Republic. His research and teaching interests focus on informatics education, algorithmics for hard problems, complexity theory with special emphasis on the relationship between determinsm, randomness, and nondeterminism. One of his main activities is writing textbooks which make complex recent discoveries and methods accessible for students and practitioners, and so contributing to the speed up of the transformation of new paradigmatic research results into educational folklore. In order to introduce the subject informatics to the school education, he founded the Centre for Computer Science Education in 2005. He is responsible for the master program Lehrdiplom Informatik at ETH devoted to the education of computer science teachers.",M,2017,Juraj Hromkovič,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anca Muscholl is Professor of Computer Science at the University of Bordeaux, France, since 2007. Before moving to Bordeaux she was a professor at the University of Paris VII. She received her PhD in 1994 from the University of Stuttgart, and the habilitation in 1999. Her research interests lie in the area of automata, logic, verification and control of concurrent systems. She spent the academic year 2015/16 as a Hans-Fischer Senior Fellow of the Institute of Advanced Study at the Technical University of Munich.",F,2017,Anca Muscholl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean-Éric Pin is currently director of research appointed by the CNRS (Centre National de la Recherche Scientifique) and working at IRIF (Institut de Recherche en Informatique Fondamentale), a Joint Research Unit supported by CNRS and University Paris Diderot. He is a leading scientist in the algebraic theory of automata and languages in connection with logic, topology, and combinatorics, but his research has also been influential in other areas. He wrote a number of articles in semigroup theory, most of them motivated by problems issued from automata theory. He is the author of two reference books in automata theory: Varieties of Formal Languages and the monograph Infinite Words, co-authored with D. Perrin. He is also a fellow of the EATCS.",M,2017,Jean-Éric Pin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peter Widmayer has been full Professor of Computer Science at the ETH Zurich since 1992. His research interests lie in the area of data structures and algorithms, especially for geometric and combinatorial problems, including parallel and distributed computing. He studied at the Technical University in Karlsruhe, where he received his doctorate with a dissertation on algorithms and complexity in computer graphics and VLSI design. Afterwards, he spent a year at the IBM T. J. Watson Research Center (NY). He completed his habilitation at the Universum of Karlsruhe with his work on Approximation algorithms for Steiner's problem in graphs. Before moving to Zurich, he was also a professor of Computer Science at the University of Freiburg in Breisgau.",M,2015,Peter Widmayer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marek Karpinski is currently a Chair Professor of Computer Science and a Member of Bonn International Graduate School in Mathematics and Hausdorff Center for Mathematics at the University of Bonn. He has been doing research and teaching at various universities and research institutes, among others, in Berkeley, Princeton, MIT, Yale, Cambridge, Oxford, Warsaw, Edinburgh, and Paris. He is a recipient of several research prizes. His main research interests are in algorithms and combinatorial optimization, complexity and circuits, approximation lower bounds, randomized approximation techniques, approximate measurements, and various applications in Operation Research, Statistical Physics, Networks, Internet Algorithms, and Molecular Biology.",M,2015,Marek Karpinski ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antonin Kucera is Full Professor of Computer Science at Masaryk University in Brno, Czech Republic. His research interests include analysis and verification of infinite-state transition systems, Markov chains, and stochastic games with a special focus on algorithmic problems related to formal analysis and verification. He has collaborated with numerous research centers, including Stuttgart, Munich, Uppsala, ENS Cachan, and Oxford. Since 2012, he has been Vice-President of the EACTS, and is an award committee member for the Presburger Award.",M,2015,Antonin Kucera ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Claus-Peter Schnorr is currently Professor of mathematics and computer science at the Johann Wolfgang Goethe University in Frankfurt, specializing in cryptographic methods and theory of random sequences. He received his Ph.D. from the University of Saarbrücken in 1966, and his habilitation in 1970. His contributions to cryptography include his study of Schnorr groups, which are used in the digital signature algorithm bearing his name. He is also a Distinguished Associate of RSA Laboratories, fellow of IACR (the International Association for Cryptographic Research), a joint recipient of the Gottfried Wilhelm Leibniz Prize in 1993, and a joint recipient of the 2013 RSA Award for Excellence in Mathematics.",M,2015,Claus-Peter Schnorr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Previously I was a professor at Stanford for five years. I got a PhD from Carnegie Mellon under the marvelous Manuel Blum, and I was an undergrad at Cornell.",M,2018,Ryan Williams,"ICALP International Colloquium on Automata, Languages and Programming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"professor, Computer Science Institute, Faculty of Mathematics and Physics, Charles University, Prague director, Center of Excellence - Institute of Theoretical Computer Science, Charles University, Prague DIMATIA Centre, Prague",M,2018,Jaroslav Nešetřil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I've been in Oxford since March 2015. Before that, I spent time in Nijmegen (NL) on Bart Jacobs' ERC project Quantum Computation, Logic, and Security (2013–14), in Paris on the CHOCO project (2010–11), and in Cambridge as a lecturer (2010–13), EPSRC research fellow (2007–10), postdoc (2006–07), PhD student (with Marcelo Fiore, 2002–06) and undergraduate.",M,2018,Sam Staton ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marta Kwiatkowska is Professor of Computing Systems and Fellow of Trinity College, University of Oxford. Prior to this she was Professor in the School of Computer Science at the University of Birmingham, Lecturer at the University of Leicester and Assistant Professor at the Jagiellonian University in Cracow, Poland. She holds a BSc/MSc in Computer Science from the Jagiellonian University, MA from Oxford and a PhD from the University of Leicester.",F,2016,Marta Kwiatkowska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas Moscibroda is a Partner Research Scientist in Microsoft Azure. Before joining Azure in September 2017, he managed the Cloud & Mobile (C&M) Research Group at Microsoft Research Asia. He is also the Chair Professor for Network Science at the Institute for Interdisciplinary Information Sciences (IIIS) at Tsinghua University. Before moving to China in 2011, Thomas was a member of the Systems Research group at Microsoft Research in Redmond, and an affiliate member of the Networking Research and Computer Architecture Research groups, respectively. He obtained his PhD in 2006 from ETH Zurich in Switzerland, and was awarded the ETH Medal for his doctoral thesis. Thomas’ role in Azure is to lead capacity and efficiency-related efforts in Azure Compute. He has been working on cloud resource management technologies, many of which have become core infrastructure components in Microsoft Azure data centers.",M,2015,Thomas Moscibroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maurice Herlihy has an A.B. in Mathematics from Harvard University, and a Ph.D. in Computer Science from M.I.T. He has served on the faculty of Carnegie Mellon University and the staff of DEC Cambridge Research Lab. He is the recipient of the 2003 Dijkstra Prize in Distributed Computing, the 2004 Gödel Prize in theoretical computer science, the 2008 ISCA influential paper award, the 2012 Edsger W. Dijkstra Prize, and the 2013 Wallace McDowell award. He received a 2012 Fulbright Distinguished Chair in the Natural Sciences and Engineering Lecturing Fellowship, and he is fellow of the ACM, a fellow of the National Academy of Inventors, the National Academy of Engineering, and the National Academy of Arts and Sciences.",M,2014,Maurice Herlihy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prof. David Harel is a professor of computer science at the Weizmann Institute of Science and is Vice President of the Israel Academy of Sciences and Humanities. He has been at Weizmann since 1980, and is incumbent of the William Sussman Professorial Chair. He was Head of the Department of Applied Mathematics and Computer Science from 1989 to 1995, and was Dean of the Faculty of Mathematics and Computer Science from 1998 for seven years. He received a BSc from Bar-Ilan University (1974), an MSc from Tel-Aviv University (1976) and a PhD from the Massachusetts Institute of Technology (1978). He spent two years at IBM's Yorktown Heights research center, sabbatical years at Carnegie-Mellon University, Cornell University and the University of Edinburgh, and shorter visiting positions at IBM, Lucent Technologies Bell Labs, DEC, NASA, University of Birmingham, Verimag, the National University of Singapore and Microsoft Research Cambridge. From 1991 to1999 he was an adjunct professor at the Open University of Israel. He was also co-founder of I-Logix, Inc. in 1984, which was acquired by Telelogic in 2006, and which, in turn, was acquired by IBM in 2008. In the past he has worked in several areas of theoretical computer science, including computability theory (see, e.g., this paper and this paper), logics of programs (see, e.g., this book), database theory (see, e.g., this paper), and automata theory (see, e.g., this paper). Over the years, his activity in these areas diminished, and he became involved in several other areas, including software and systems engineering, visual languages, layout of diagrams, modeling and analysis of biological systems, and the synthesis and communication of smell. He has published widely on these topics (see list of publications), including several books. He is the inventor of the language of statecharts (see the 1984 paper for the original version of the language, which has over 8000 citations, the 1997 paper for the OO version, and this paper on its history), and co-inventor of live sequence charts (LSCs; see the 1998 paper), the idea of reactive animation (2002) and behavioral programming (2010). He was part of the team that designed the tools Statemate (1984-1987), Rhapsody (1997) the Play-Engine (2003) and PlayGo (2010). His work is also central to the UML. He has put forward visions/grand challenges for liberating programming (see this paper), for modeling an entire multi-cellular organism (see this paper), for a system of odor communication and synthesis (see this paper), and recently for wise computing (see this paper). He has devoted part of his time to educational and expository work: In 1984 he delivered a lecture series on Israeli radio (see the book version), and in 1998 he hosted a series of programs on Israeli television. Some of his writing is intended for a general audience; see, for example, Computers Ltd.: What They Really Can't Do (2000, 2012) and Algorithmics: The Spirit of Computing (1987, 1992, 2004, 2012). His awards include the ACM Karlstrom Outstanding Educator Award (1992), the Stevens Award in Software Development Methods (1996), the Israel Prize (2004), the ACM SIGSOFT Outstanding Research Award (2006), the ACM Software System Award (2007), the ACM SIGSOFT Impact Paper Award (2008), the Emet Prize (2010) and the ABZ Platinum Gold Medal from ETH Zurich (2013). He has received honorary degrees from the University of Rennes (2005), the Open University of Israel (2006), the University of Milano-Bicocca (2007), the Technical University of Eindhoven (2012) and Bet Berl College (2014). He is a Fellow of the ACM (1994), the IEEE (1995), the AAAS (2007), and the EATCS (2016), and is a member of the Academia Europaea (2006) and the Israel Academy of Sciences and Humanities (2010; Vice President as of Sept. 2015), and a foreign member of the American Academy of Arts and Sciences (2014) and the US National Academy of Engineering (2014). He is an ardent peace and human rights activist (see some op-ed articles here), and his main hobbies are photography and choir singing.",M,2012,David Harel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
